YEAR,SIZE
1984,220.83743842364532
1985,228.85658914728683
1986,234.65598491988692
1987,241.30555555555554
1988,240.5035335689046
1989,244.13851351351352
1990,249.73311092577146
1991,237.39952718676122
1992,234.04125286478228
1993,235.24849397590359
1994,242.04051012753186
1995,257.76096822995464
1996,267.46043707611153
1997,279.7052154195011
1998,292.1487603305785
1999,309.47528517110266
2000,321.27008416220355
2001,326.3369397217929
2002,340.90836012861735
2003,354.7747747747748
2004,369.142381348876
2005,385.0872817955112
2006,405.3910849453322
2007,419.09728016018687
2008,421.164118622214
2009,421.9569879712123
2010,410.9415394879493
2011,417.74328158905024
2012,406.837375098685
2013,418.3843967644211
2014,419.5821147620462
2015,448.0809330130263
2016,472.3157785262282
2017,485.0369712164006
2018,506.0189820191422
2019,552.1107066226283
2020,555.3922289186144
2021,594.483824369268
