YEAR,SIZE
1984,18.316308559351885
1985,18.665744901486345
1986,18.796867188801865
1987,18.877551020408163
1988,19.522953765724555
1989,19.964664310954063
1990,21.284552845528456
1991,23.04471612795177
1992,23.93176828238473
1993,24.6775288526816
1994,25.088161209068012
1995,24.934895833333332
1996,25.34081796311147
1997,25.59710873664362
1998,25.204607456805096
1999,25.09977827050998
2000,25.848525270490587
2001,27.5919228450874
2002,28.334852628380432
2003,29.092013361676283
2004,29.83576642335766
2005,30.32345013477089
2006,31.32405213270142
2007,31.787348782976242
2008,33.93633071816536
2009,34.80273348519362
2010,35.4348367029549
2011,36.117127071823205
2012,36.77426992896606
2013,36.07225433526012
2014,37.436209553158704
2015,36.29410904838474
2016,35.80251270468662
2017,36.29546400332917
2018,36.822127892646854
2019,35.3658785942492
2020,37.07865901382729
2021,37.908292938556265
2022,40.98444623223384
